projectname,capacity,avgcapacityfactor,type
Montaña De Arinaga wind farm,19,0.4693809307,Wind
Agripa solar farm,45.3,0.1902981866,Solar
Alaudae solar farm,45.3,0.1902981866,Solar
Albeniz solar farm,50,0.2064167807,Solar
Algiedi solar farm,20.6,0.1857383098,Solar
Almaraz solar farm,42.6,0.1912760036,Solar
Almaraz solar farm,42.6,0.1912760036,Solar
Amazon 1 solar farm,111,0.1891191454,Solar
Amazon Alamo solar farm,100,0.1995661116,Solar
Arenosas solar farm,46.6,0.1995661116,Solar
Barrica solar farm,49.5,0.1968359565,Solar
Bolarque solar farm,50,0.196959911,Solar
Calatrava 1 solar farm,22.3,0.1999170849,Solar
Canredondo solar farm,22,0.1946033683,Solar
Cosentino solar farm,20,0.2059848692,Solar
Draco solar farm (Spain),45.6,0.1879429364,Solar
EGA solar farm,30,0.2060135721,Solar
El Romeral solar farm,42,0.2002728863,Solar
El Yarte solar farm,46.6,0.1995661116,Solar
Esparragal solar farm,50,0.196942024,Solar
Fotosfera solar farm,42.3,0.2084539994,Solar
Fraile solar farm,36,0.1943551741,Solar
Francisco Pizarro solar farm,553,0.1894281098,Solar
Gemina solar farm,45.3,0.1902981866,Solar
Gnowee solar farm,100,0.1895383592,Solar
Heineken (Seville) CSP solar farm,30,0.1972457421,Solar
Hive Energy Portachuelo solar farm,35,0.1962593142,Solar
Iberelectrica 1 solar farm,22.3,0.1999170849,Solar
Ictio Alcazar solar farm,47.1,0.1994611846,Solar
Ictio Alcazar solar farm,47.1,0.1994611846,Solar
Ictio Manzanares solar farm,35,0.1999002623,Solar
Kissoro solar farm,42.3,0.2084539994,Solar
La Guita solar farm,46.6,0.1995661116,Solar
La Torre 40 solar farm,42,0.2016510036,Solar
Los Frailes solar farm,50,0.1927487264,Solar
Majada Alta solar farm,49.9,0.1885464378,Solar
Malabrigo solar farm,46.6,0.2001614013,Solar
Minglanilla solar farm,99.6,0.2001844206,Solar
Minglanilla solar farm,99.6,0.2001844206,Solar
Miraflores solar farm,22,0.1944161344,Solar
Ninobe 3 solar farm,22.3,0.1999170849,Solar
Olivares solar farm,49.9,0.2014610135,Solar
Olmedilla Hive solar farm,169,0.2000979129,Solar
Olmedilla solar farm,42,0.2000842838,Solar
Pinos Puente solar farm,147.6,0.2049069913,Solar
Puertollano Green Hydrogen Solar Plant,120,0.1969614697,Solar
Revilla-Vallejera solar farm,50,0.1849056227,Solar
San Antonio (Iberdrola) solar farm,49.9,0.1885464378,Solar
San Serván solar farm,42.3,0.1932602456,Solar
San Serván solar farm,42.3,0.1932602456,Solar
San Serván solar farm,42.3,0.1932602456,Solar
Sol De Casaquemada solar farm,50,0.1972042275,Solar
Sunplex solar farm,42.3,0.2084539994,Solar
Tabernas (Naturgy) solar farm,48.8,0.2066840024,Solar
Tabernas (Naturgy) solar farm,48.8,0.2066840024,Solar
Talaván solar farm,28,0.189676266,Solar
Tico solar farm,35.8,0.194399521,Solar
Tierra de Badajoz solar farm,48.8,0.1902981866,Solar
Ursa Maior solar farm,48.1,0.1852939667,Solar
Valbuena solar farm,50,0.194604889,Solar
El Puntal wind farm,15,0.2064034557,Wind
Martín De La Jara wind farm,36,0.2130092762,Wind
Manzanera wind farm,24,0.2375467609,Wind
Buseco wind farm,50,0.2589989735,Wind
Loma De Los Pinos wind farm,39,0.2701037295,Wind
Torozos wind farm,35.2,0.2921756007,Wind
Derramador wind farm,50,0.2968238101,Wind
Fuente-Álamo wind farm,50,0.2968238101,Wind
Campillo De Altobuey wind farm,91.2,0.2972057862,Wind
Campillo De Altobuey wind farm,91.2,0.2993335995,Wind
Montes De Cierzo wind farm,35,0.2998976582,Wind
Campillo De Altobuey wind farm,76.8,0.3020028133,Wind
Cuevas Del Velasco wind farm,105,0.3050590595,Wind
Pestriz wind farm,50,0.3060346525,Wind
Frontones wind farm,50,0.3073317936,Wind
GECAMA wind farm,329.2,0.3093635759,Wind
Celada wind farm,48,0.3124945446,Wind
Muela De Todolella wind farm,41,0.3204360554,Wind
Multitecnología wind farm,32,0.3272446586,Wind
Las Herrerías wind farm,17,0.3273530071,Wind
Las Atalayas wind farm,50,0.3299065541,Wind
Valdejalón wind farm,50,0.3397468636,Wind
Arriello wind farm,35,0.3412377015,Wind
Herrera de los Navarros wind farm,35,0.3437346411,Wind
Tico wind farm,180,0.3486469929,Wind
La Cometa wind farm,15,0.3490963542,Wind
La Cometa wind farm,45,0.3490963542,Wind
Pedregales En Loscos wind farm,18,0.3498402905,Wind
Torre Miró wind farm,41.1,0.3572300791,Wind
Puerto Del Rosario wind farm,29,0.4707287485,Wind
